time_measured,temperature,relative_humidity,ambient_light,barometric_pressure,sound_noise,eTVOC,eCO2,discomfort_index,heat_stroke,vibration_information,si_value,pga,seismic_intensity,temperature_flag,relative_humidity_flag,ambient_light_flag,barometric_pressure_flag,sound_noise_flag,etvoc_flag,eco2_flag,discomfort_index_flag,heat_stroke_flag,si_value_flag,pga_flag,seismic_intensity_flag
1710146896,20.53,41.43,137,994.729,77.64,68,848,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146897,20.51,41.47,139,994.726,77.53,70,863,65.4,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146898,20.48,41.53,137,994.727,77.09,72,877,65.37,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146899,20.5,41.55,144,994.725,76.79,72,877,65.39,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146901,20.5,41.55,146,994.727,77.67,72,877,65.39,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146902,20.51,41.51,146,994.725,76.94,77,907,65.4,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146903,20.51,41.52,146,994.723,77.65,79,920,65.4,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146904,20.51,41.53,141,994.723,78.89,77,907,65.4,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146905,20.5,41.57,146,994.722,78.37,79,920,65.39,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146906,20.5,41.61,146,994.723,77.59,74,891,65.39,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146907,20.49,41.63,146,994.725,77.43,77,907,65.38,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146908,20.48,41.63,146,994.724,76.5,77,907,65.37,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146909,20.47,41.64,141,994.721,77.85,77,907,65.36,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146910,20.46,41.66,146,994.722,77.27,74,891,65.35,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146912,20.45,41.71,146,994.718,78.18,77,907,65.34,16.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146913,20.46,41.71,144,994.716,77.94,77,907,65.35,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146914,20.47,41.67,139,994.718,77.21,77,907,65.36,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146915,20.48,41.66,144,994.72,78.03,74,891,65.37,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146916,20.47,41.66,146,994.724,77.41,77,907,65.36,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146917,20.46,41.68,146,994.722,78.72,77,907,65.35,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146918,20.44,41.75,146,994.719,77.18,74,891,65.33,16.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146919,20.44,41.73,146,994.723,77.23,74,891,65.33,16.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146920,20.45,41.69,139,994.724,78.89,72,874,65.34,16.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146922,20.48,41.64,146,994.721,77.87,72,874,65.37,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146923,20.47,41.66,146,994.719,77.71,69,857,65.36,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146924,20.48,41.62,144,994.721,77.59,69,857,65.37,16.46,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146925,20.47,41.65,146,994.718,77.06,69,857,65.36,16.45,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146926,20.46,41.66,139,994.716,79.33,72,874,65.35,16.44,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146927,20.45,41.69,144,994.718,78.44,74,889,65.34,16.43,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146928,20.43,41.76,137,994.717,76.87,74,889,65.32,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146929,20.42,41.82,146,994.716,76.69,72,874,65.31,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146930,20.43,41.83,144,994.716,78.21,74,889,65.32,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146931,20.43,41.85,144,994.718,78.08,70,863,65.32,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146933,20.42,41.85,146,994.717,76.82,70,863,65.31,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146934,20.41,41.87,144,994.72,78.1,72,877,65.3,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146935,20.42,41.87,141,994.719,78.42,70,863,65.31,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146936,20.43,41.84,148,994.722,79.02,70,863,65.32,16.42,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146937,20.41,41.85,148,994.723,77.89,70,863,65.3,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146938,20.41,41.86,148,994.722,77.21,72,877,65.3,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146939,20.41,41.87,146,994.72,78.69,72,877,65.3,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146940,20.4,41.91,146,994.717,77.24,74,891,65.29,16.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146941,20.41,41.92,146,994.719,78.18,74,891,65.3,16.41,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146942,20.4,41.96,148,994.717,77.86,74,891,65.29,16.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146944,20.39,41.98,148,994.716,78.79,76,905,65.28,16.4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
